allocSize,allocFrequency,reallocCount,grewByRealloc,activeAllocations,largestAllocation,totalAllocatedBytes,totalFreedBytes,fragmentationPercent,label
24,1,3,1,11,937,7305,4878,28.7,NORMAL
228,7,7,1,8,667,9885,4800,84.37,GROWING_LEAK
40,14,7,1,1,851,848,770,86.47,GROWING_LEAK
265,5,3,0,16,390,2203,550,77.33,FRAGMENTED
495,14,9,0,11,508,6789,865,50.2,CACHE_LEAK
373,14,0,0,12,926,7511,3093,76.8,CACHE_LEAK
350,11,8,1,13,444,7678,4702,71.54,GROWING_LEAK
179,7,0,0,3,689,9927,199,6.95,NORMAL
142,1,7,0,4,209,3847,2488,84.1,FRAGMENTED
128,4,0,1,3,811,8668,913,11.29,NORMAL
435,1,3,0,9,520,9376,4595,21.54,NORMAL
394,3,3,1,16,412,7661,3924,78.19,FRAGMENTED
73,9,4,1,4,384,3252,1378,70.42,CACHE_LEAK
105,13,8,1,5,666,6882,6678,23.59,NORMAL
108,10,7,1,1,333,974,149,74.34,GROWING_LEAK
245,8,9,1,9,837,7728,6436,7.62,NORMAL
174,8,2,1,8,986,3022,2656,83.21,FRAGMENTED
147,3,8,1,12,166,7202,4577,34.21,NORMAL
491,11,2,0,4,903,2914,983,2.3,NORMAL
355,7,4,0,17,465,1205,483,1.41,NORMAL
145,3,6,0,19,486,8241,4760,64.17,FRAGMENTED
221,10,7,0,18,689,2721,814,89.47,CACHE_LEAK
469,9,9,0,9,485,775,235,58.1,CACHE_LEAK
293,11,10,0,8,427,943,897,44.59,CACHE_LEAK
130,1,6,1,17,469,5603,3359,77.16,GROWING_LEAK
145,3,3,0,18,479,6962,6844,68.02,FRAGMENTED
309,5,6,0,10,439,3591,1025,24.93,NORMAL
434,15,9,1,4,848,9507,7328,62.06,GROWING_LEAK
296,7,2,1,7,520,9967,3514,59.19,NORMAL
375,10,2,0,19,470,790,639,12.39,NORMAL
383,14,10,0,5,884,2868,1869,17.64,NORMAL
304,10,6,1,10,820,4812,2102,33.29,CACHE_LEAK
162,7,6,0,18,184,9223,3434,65.63,FRAGMENTED
13,5,4,0,10,341,550,76,0.35,NORMAL
215,9,6,1,5,462,2796,798,2.8,NORMAL
